[1] x y
[1] 141 0.629320391049838
[1] 142 0.615661475325658
[1] 143 0.601815023152048
[1] 144 0.587785252292473
[1] 145 0.573576436351046
[1] 146 0.559192903470747
[1] 147 0.544639035015027
[1] 148 0.529919264233205
[1] 149 0.515038074910054
[1] 150 0.5
[1] 151 0.484809620246337
[1] 152 0.469471562785891
[1] 153 0.453990499739547
[1] 154 0.438371146789077
[1] 155 0.422618261740699
[1] 156 0.4067366430758
[1] 157 0.390731128489274
[1] 158 0.374606593415912
[1] 159 0.3583679495453
[1] 160 0.342020143325669
[1] 161 0.325568154457157
[1] 162 0.309016994374948
[1] 163 0.292371704722737
[1] 164 0.275637355817
[1] 165 0.258819045102521
[1] 166 0.241921895599668
[1] 167 0.224951054343865
[1] 168 0.207911690817759
[1] 169 0.190808995376545
[1] 170 0.17364817766693
[1] 171 0.156434465040231
[1] 172 0.139173100960066
[1] 173 0.121869343405148
[1] 174 0.104528463267654
[1] 175 0.0871557427476586
[1] 176 0.0697564737441255
[1] 177 0.0523359562429438
[1] 178 0.0348994967025007
[1] 179 0.0174524064372834
[1] 180 1.22464679914735e-16
[1] 181 -0.0174524064372832
[1] 182 -0.0348994967025009
[1] 183 -0.0523359562429436
[1] 184 -0.0697564737441248
[1] 185 -0.0871557427476579
[1] 186 -0.104528463267653
[1] 187 -0.121869343405148
[1] 188 -0.139173100960066
[1] 189 -0.156434465040231
[1] 190 -0.17364817766693
[1] 191 -0.190808995376545
[1] 192 -0.207911690817759
[1] 193 -0.224951054343865
[1] 194 -0.241921895599668
[1] 195 -0.25881904510252
[1] 196 -0.275637355816999
[1] 197 -0.292371704722736
[1] 198 -0.309016994374948
[1] 199 -0.325568154457157
[1] 200 -0.342020143325669
[1] 201 -0.3583679495453
[1] 202 -0.374606593415912
[1] 203 -0.390731128489274
[1] 204 -0.4067366430758
[1] 205 -0.422618261740699
[1] 206 -0.438371146789077
[1] 207 -0.453990499739546
[1] 208 -0.469471562785891
[1] 209 -0.484809620246337
[1] 210 -0.5
[1] 211 -0.515038074910054
[1] 212 -0.529919264233205
[1] 213 -0.544639035015027
[1] 214 -0.559192903470747
[1] 215 -0.573576436351046
[1] 216 -0.587785252292473
[1] 217 -0.601815023152048
[1] 218 -0.615661475325658
[1] 219 -0.629320391049838
[1] 220 -0.642787609686539
[1] 221 -0.656059028990507
[1] 222 -0.669130606358858
[1] 223 -0.681998360062498
[1] 224 -0.694658370458997
[1] 225 -0.707106781186547
[1] 226 -0.719339800338651
[1] 227 -0.73135370161917
[1] 228 -0.743144825477394
[1] 229 -0.754709580222772
[1] 230 -0.766044443118978
[1] 231 -0.777145961456971
[1] 232 -0.788010753606722
[1] 233 -0.798635510047293
[1] 234 -0.809016994374947
[1] 235 -0.819152044288992
[1] 236 -0.829037572555041
[1] 237 -0.838670567945424
[1] 238 -0.848048096156426
[1] 239 -0.857167300702112
[1] 240 -0.866025403784438
[1] 241 -0.874619707139396
[1] 242 -0.882947592858927
[1] 243 -0.891006524188368
[1] 244 -0.898794046299167
[1] 245 -0.90630778703665
[1] 246 -0.913545457642601
[1] 247 -0.92050485345244
[1] 248 -0.927183854566787
[1] 249 -0.933580426497202
[1] 250 -0.939692620785908
[1] 251 -0.945518575599317
[1] 252 -0.951056516295154
[1] 253 -0.956304755963035
[1] 254 -0.961261695938319
[1] 255 -0.965925826289068
[1] 256 -0.970295726275996
[1] 257 -0.974370064785235
[1] 258 -0.978147600733806
[1] 259 -0.981627183447664
[1] 260 -0.984807753012208
[1] 261 -0.987688340595138
[1] 262 -0.99026806874157
[1] 263 -0.992546151641322
[1] 264 -0.994521895368273
[1] 265 -0.996194698091746
[1] 266 -0.997564050259824
[1] 267 -0.998629534754574
[1] 268 -0.999390827019096
[1] 269 -0.999847695156391
[1] 270 -1
[1] 271 -0.999847695156391
[1] 272 -0.999390827019096
[1] 273 -0.998629534754574
[1] 274 -0.997564050259824
[1] 275 -0.996194698091746
[1] 276 -0.994521895368273
[1] 277 -0.992546151641322
[1] 278 -0.99026806874157
[1] 279 -0.987688340595138
[1] 280 -0.984807753012208
[1] 281 -0.981627183447664
[1] 282 -0.978147600733806
[1] 283 -0.974370064785235
[1] 284 -0.970295726275997
[1] 285 -0.965925826289068
[1] 286 -0.961261695938319
[1] 287 -0.956304755963035
[1] 288 -0.951056516295154
[1] 289 -0.945518575599317
[1] 290 -0.939692620785909
[1] 291 -0.933580426497202
[1] 292 -0.927183854566787
[1] 293 -0.92050485345244
[1] 294 -0.913545457642601
[1] 295 -0.90630778703665
[1] 296 -0.898794046299167
[1] 297 -0.891006524188368
[1] 298 -0.882947592858927
[1] 299 -0.874619707139396
[1] 300 -0.866025403784439
[1] 301 -0.857167300702112
[1] 302 -0.848048096156426
[1] 303 -0.838670567945424
[1] 304 -0.829037572555042
[1] 305 -0.819152044288992
[1] 306 -0.809016994374948
[1] 307 -0.798635510047293
[1] 308 -0.788010753606722
[1] 309 -0.777145961456971
[1] 310 -0.766044443118978
[1] 311 -0.754709580222772
[1] 312 -0.743144825477395
[1] 313 -0.731353701619171
[1] 314 -0.719339800338652
[1] 315 -0.707106781186548
[1] 316 -0.694658370458998
[1] 317 -0.681998360062498
[1] 318 -0.669130606358858
[1] 319 -0.656059028990507
[1] 320 -0.64278760968654
[1] 321 -0.629320391049838
[1] 322 -0.615661475325659
[1] 323 -0.601815023152048
[1] 324 -0.587785252292473
[1] 325 -0.573576436351046
[1] 326 -0.559192903470747
[1] 327 -0.544639035015027
[1] 328 -0.529919264233206
[1] 329 -0.515038074910054
[1] 330 -0.5
[1] 331 -0.484809620246337
[1] 332 -0.469471562785891
[1] 333 -0.453990499739547
[1] 334 -0.438371146789077
[1] 335 -0.4226182617407
[1] 336 -0.4067366430758
[1] 337 -0.390731128489275
[1] 338 -0.374606593415912
[1] 339 -0.358367949545301
[1] 340 -0.342020143325669
[1] 341 -0.325568154457158
[1] 342 -0.309016994374948
[1] 343 -0.292371704722736
[1] 344 -0.275637355817
[1] 345 -0.258819045102521
[1] 346 -0.241921895599668
[1] 347 -0.224951054343865
[1] 348 -0.20791169081776
[1] 349 -0.190808995376545
[1] 350 -0.173648177666931
[1] 351 -0.156434465040231
[1] 352 -0.139173100960066
[1] 353 -0.121869343405148
[1] 354 -0.104528463267653
[1] 355 -0.0871557427476583
[1] 356 -0.0697564737441248
[1] 357 -0.0523359562429444
[1] 358 -0.0348994967025008
[1] 359 -0.0174524064372844
[1] 360 -2.44929359829471e-16
